Event,Race,Country,Region,Tag,Date,Starting Time,Type,Distance,Starting Point,Description,Sign Up,Reference URL
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
Ame Minuit Trail,['9 km'],Loiret,Europe,Trail Night Race Solo,"March 30, 2019 (Saturday)",20:30,Running,9 kilometers,Amilly,,,https://marathons.ahotu.com//event/ame-minuit-trail
A Pot of Gold Shared Half Marathon and 5K,['A Pot of Gold Shared 5K Fun Run'],Iowa,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,3.1 miles,University Park,"Oskaloosa Education Foundation (OEF) will be hosting our second Pot of Gold Shared Half Marathon and 5K. Proceeds go towards a scholarship for a male and female runner, and the rest of the funds will go to support other OEF funding projects for students and teachers. 
We will give medals to the top 3 individuals Male and Female in the half marathon and 5k. All finishers will receive a medal for the half marathon. The top relay teams and teams will receive a medal. Long sleeves will be handed out based on availability, so please make sure that we have you signed up because we will need to get shirt orders in by February!!! All participants will get a racing packet with coupons, etc.  
The half marathon will be on the Mahaska Country Recreation Trail all around Oskaloosa with a little bit of the running on the streets.  
Packet pickup will be Friday, from 5:00 p.m.- 8 p.m. at Oskaloosa Middle School. Also, you will be able to pick up the packets on the race day from 7:00-7:30 at Vennard College.",https://runsignup.com/Race/IA/UniversityPark/APotofGoldSharedHalfMarathonand5K,https://marathons.ahotu.com//event/a-pot-of-gold-shared-half-marathon-and-5k
A Pot of Gold Shared Half Marathon and 5K,['A Pot of Gold Shared 5K Fun Run'],Iowa,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,3.1 miles,University Park,"Oskaloosa Education Foundation (OEF) will be hosting our second Pot of Gold Shared Half Marathon and 5K. Proceeds go towards a scholarship for a male and female runner, and the rest of the funds will go to support other OEF funding projects for students and teachers. 
We will give medals to the top 3 individuals Male and Female in the half marathon and 5k. All finishers will receive a medal for the half marathon. The top relay teams and teams will receive a medal. Long sleeves will be handed out based on availability, so please make sure that we have you signed up because we will need to get shirt orders in by February!!! All participants will get a racing packet with coupons, etc.  
The half marathon will be on the Mahaska Country Recreation Trail all around Oskaloosa with a little bit of the running on the streets.  
Packet pickup will be Friday, from 5:00 p.m.- 8 p.m. at Oskaloosa Middle School. Also, you will be able to pick up the packets on the race day from 7:00-7:30 at Vennard College.",https://runsignup.com/Race/IA/UniversityPark/APotofGoldSharedHalfMarathonand5K,https://marathons.ahotu.com//event/a-pot-of-gold-shared-half-marathon-and-5k
